 Einfuhr: Wert in Tsd. EUR
72252825.0
79298579.0
80660220.0
82932951.0
83122358.0
83604206.0
85115801.0
86096028.0
88885691.0
89249615.0
89531263.0
89934990.0
91087217.0
92121896.0
92543398.0
92570281.0
92999905.0
93499241.0
93659993.0
94205759.0
94713182.0
95292809.0
95842199.0
96200099.0
96595208.0
96657464.0
98441989.0
101362712.0
102220649.0
105678785.0
107918327.0
110713691.0
110766790.0
113802289.0
114872412.0
118244130.0
121353276.0
124165690.0
128110827.0
128407785.0
129179795.0
132750248.0
133913719.0
138595083.0
""
""
""
""
""
""
""
""
