Ausfuhr: Gewicht
34315195.6
34663885.0
39170837.8
35664280.5
37697758.8
35493894.8
37243230.5
35688188.0
37137523.7
37095968.4
34919155.2
29727664.3
34289918.8
36149463.0
37544373.5
29721555.1
29448360.1
32500767.5
33280319.1
32671172.0
35992951.5
36597367.1
36050785.9
32505044.0
31642832.4
30678772.0
36532402.9
33087150.7
33268551.9
33340253.3
33366893.1
30157348.9
32833659.5
33476313.4
32540850.3
30737514.9
31353964.4
31829066.3
35788181.7
32056433.8
32792374.6
32409152.4
30276375.1
28788871.9
31715035.3
30924668.7
31797284.3
26949714.4
28842110.7
28743462.5
